lat,lon,elevation,ai_risk_score
13.0667024,80.2540694,8.0,0.96752876
13.0673625,80.2548403,9.0,0.98857504
13.0760151,80.2672158,9.0,0.99459827
13.075238,80.2702071,7.0,0.9997607
13.0722422,80.2739583,9.0,0.9966228
12.9854194,80.2236278,9.0,0.9776047
12.9760873,80.2213325,7.0,0.99991536
13.0513046,80.2501962,13.0,0.3717445
13.0482864,80.2458483,8.0,0.9656615
13.0426746,80.2322657,11.0,0.25617412
13.0474136,80.2330821,14.0,0.19491425
13.0561236,80.2347301,13.0,0.5911943
13.0580858,80.2373271,13.0,0.2362124
13.0594571,80.237392,9.0,0.7654582
13.0601446,80.2374872,9.0,0.43159282
13.0664731,80.2313762,10.0,0.85852337
13.0666839,80.2287593,15.0,0.5579122
13.0681164,80.2265181,13.0,0.27874056
13.0295538,80.2457626,8.0,0.99483323
13.0181555,80.2410929,11.0,0.78944236
13.0241308,80.2430446,6.0,0.99959296
13.0276119,80.2454439,9.0,0.4080912
13.0186803,80.2608484,8.0,0.99756455
13.0186354,80.2581862,7.0,0.98840874
13.0200171,80.2547563,10.0,0.9866281
13.0205644,80.2531005,8.0,0.9978598
13.0245824,80.2527039,11.0,0.9823775
13.0271502,80.2537843,13.0,0.31838235
13.0202472,80.2630135,6.0,0.9983255
13.0189281,80.2627808,6.0,0.9997297
13.022328,80.2602598,8.0,0.997875
13.0218341,80.2619612,8.0,0.9988807
12.9807054,80.2592827,7.0,0.9971323
12.9788805,80.259037,8.0,0.9935135
12.9725288,80.2580449,8.0,0.9984522
12.9812926,80.2434345,2.0,0.99999344
12.9806818,80.2495031,5.0,0.99988806
12.9798977,80.2526097,5.0,0.99968004
12.9863017,80.2432971,4.0,0.9999654
13.0360056,80.2304629,12.0,0.41412732
13.0350262,80.2304109,11.0,0.41624978
13.030776,80.2307615,8.0,0.9930339
13.0260918,80.2313679,10.0,0.8850945
13.0279325,80.2328321,10.0,0.48938033
13.0270637,80.2329391,12.0,0.8316013
13.0888458,80.2903598,9.0,0.9982406
13.0905433,80.2909859,7.0,0.87880623
13.0921803,80.2915343,6.0,0.9141954
13.097398,80.2932396,9.0,0.96456337
13.1061462,80.2932331,7.0,0.99979323
13.1059989,80.2920422,9.0,0.994478
13.0886371,80.2876706,7.0,0.9875996
13.0894808,80.2789136,13.0,0.19715929
13.0903952,80.2772636,13.0,0.19491425
13.0909096,80.2765243,13.0,0.24794221
13.0914196,80.2752039,11.0,0.94800156
13.086075,80.2792164,10.0,0.90947115
13.0861687,80.2784418,11.0,0.5753656
13.0863687,80.2773133,13.0,0.19491425
13.0955693,80.2752573,6.0,0.9996637
13.1074134,80.2723234,4.0,0.99998856
13.1190834,80.276458,5.0,0.9997098
13.1209502,80.2769011,5.0,0.9999757
13.1286691,80.278722,6.0,0.99997556
13.1283864,80.2850317,5.0,0.99965894
13.1257659,80.2844291,7.0,0.99951553
13.1241512,80.2839256,7.0,0.9981102
13.1233183,80.2875793,10.0,0.907857
13.0737818,80.2764982,4.0,0.9999926
13.0770794,80.276291,7.0,0.9999106
13.0923212,80.2752963,9.0,0.99373525
13.1053435,80.2799787,8.0,0.9973949
13.1034236,80.279983,8.0,0.98842245
13.1021796,80.2799666,12.0,0.21159424
13.1007453,80.2800133,11.0,0.19495757
13.0985744,80.2800775,14.0,0.19491425
13.0951601,80.2798126,15.0,0.19494772
13.0943668,80.2796393,13.0,0.21200421
13.0927747,80.279421,13.0,0.19498323
13.09197,80.2793299,15.0,0.19491425
13.0884768,80.2852912,9.0,0.9785162
13.0913549,80.2857799,8.0,0.99439394
13.0858418,80.280899,9.0,0.9976472
13.0853578,80.2783081,12.0,0.35889027
13.0835807,80.2780939,13.0,0.834838
13.083387,80.2781193,11.0,0.99381036
13.0886274,80.2815146,11.0,0.99150753
13.0422986,80.2504083,11.0,0.19491425
13.0423262,80.2497409,16.0,0.19491425
13.0424802,80.2476562,11.0,0.19491425
13.0414266,80.2509979,11.0,0.60195357
13.0419663,80.2519503,13.0,0.27108115
13.0424268,80.2542696,12.0,0.65285707
13.0433428,80.2543282,9.0,0.80710185
13.0434919,80.2542337,10.0,0.52393305
13.0446793,80.2542594,15.0,0.20128737
13.0466756,80.2548396,15.0,0.28878787
13.044509,80.2563703,11.0,0.26315647
13.0446021,80.2550498,15.0,0.19491425
13.0464032,80.2556091,13.0,0.19491425
13.0430153,80.259547,12.0,0.19491425
13.0434066,80.2524616,14.0,0.19491425
13.0341938,80.2371528,13.0,0.19495797
13.043953,80.2409843,11.0,0.24754944
13.0524265,80.2410002,10.0,0.48685682
13.0561108,80.242472,14.0,0.23086375
13.0572301,80.2427961,11.0,0.3316729
13.05821,80.2407217,12.0,0.22123462
13.0317509,80.245856,13.0,0.19491425
13.0332297,80.245965,14.0,0.40025896
13.0342924,80.2458868,14.0,0.3856985
13.0346157,80.2334729,11.0,0.21745002
13.043383,80.2445937,11.0,0.2981197
13.0474112,80.2453612,9.0,0.56201446
13.0486721,80.2455227,9.0,0.6079403
13.0497433,80.2402707,12.0,0.20896499
13.0506622,80.2353,12.0,0.19494039
13.0534346,80.2361522,12.0,0.19491425
13.0531729,80.2377152,11.0,0.7309915
13.0538133,80.2341222,9.0,0.7847619
13.0540537,80.2282332,12.0,0.69403934
13.0533,80.224086,13.0,0.19491425
13.0527474,80.2218597,14.0,0.19491425
13.0519547,80.2189987,15.0,0.19491425
13.0514781,80.217671,18.0,0.19491425
13.0347846,80.1560876,18.0,0.19491425
13.0337119,80.1552714,17.0,0.19491425
13.031852,80.1537171,17.0,0.19491425
13.0226162,80.1461397,19.0,0.19491425
13.0477807,80.2035736,15.0,0.19491425
13.0474188,80.1949548,12.0,0.19491425
13.0465137,80.1893569,16.0,0.19491425
13.0462107,80.1883575,14.0,0.19491425
13.0455109,80.1867984,16.0,0.19491425
13.0449255,80.1859977,17.0,0.19491425
13.0431913,80.1822437,17.0,0.19491425
13.042234,80.1802808,17.0,0.19491425
13.0420687,80.177059,18.0,0.19491425
13.0409958,80.1730657,15.0,0.19491425
13.0408876,80.1727618,16.0,0.19491425
13.0393514,80.1697917,16.0,0.19491425
13.0382749,80.1640131,18.0,0.19491425
13.0382099,80.1634464,15.0,0.19491425
13.0380585,80.1627222,16.0,0.19491425
13.0375445,80.1595795,18.0,0.19491425
13.0367454,80.1577285,18.0,0.19491425
13.0527693,80.2456064,15.0,0.19491425
13.0514975,80.2506815,16.0,0.2880174
13.0495744,80.247566,9.0,0.9683782
13.0513771,80.24958,18.0,0.31823367
13.052391,80.2507557,13.0,0.19491425
13.0493383,80.2498217,16.0,0.19491425
13.0494117,80.2497085,16.0,0.512191
